station_name,lon,lat
十堰东,110.8187666,32.7097953
十渡,115.583388,39.6460483
十里坪,128.8899501,42.4432618
千岛湖,119.1868632,29.7377193
千岛湖南,119.1962561,29.4852408
千河,107.298691,34.392937
千阳,107.1109552,34.6363569
升昌,131.3649497,46.7245585
午汲,114.148513,36.6518689
半壁山,117.8871634,40.3713131
半截河,130.3081185,46.9459936
华亭,106.7304263,35.1856501
华城,115.6204491,24.0738452
华安,117.5336511,24.989577
华家,125.1404749,44.2882195
华容,114.7374183,30.5207418
华容东,114.7814544,30.5342617
华容南,114.7692539,30.4491052
华山北,110.0930339,34.5832012
华州,109.7573475,34.4967065
华蓥,106.7771102,30.3660222
协荣,90.9155224,29.3918792
卓资东,112.6122464,40.9228337
卓资山,112.5553498,40.9008835
南丰,116.5973746,27.2894082
南丹,107.5543767,24.9789515
南乐,115.4072218,36.0122649
南京,118.7922396,32.0891245
南京南,118.7930516,31.970797
南京西,118.7371116,32.0974705
南仇,118.2492413,36.7475663
南仓,117.1720259,39.2024881
南充,106.08114,30.8102592
南充东,106.1672573,30.8468549
南充北,106.0659281,30.8600344
南充南,106.04953,30.5812085
南充西,106.010495,30.8066821
南关岭,121.5838455,39.0172001
南华,101.2594428,25.1895356
南华北,101.2795435,25.2100593
南博山,117.9531361,36.3546293
南口,116.123183,40.2380421
南召,112.7350467,33.4413937
南城,116.6110578,27.5671304
南城司,115.2561167,39.5480888
南堡北,118.1993213,39.2765878
南塘镇,115.2557972,26.0970036
南大庙,117.0612318,40.7656492
南头,113.3034906,22.715776
南宁,108.3108101,22.83016
南宁东,108.4099277,22.8447744
南宁北,108.2330668,23.158985
南宁西,107.9711032,22.8912035
南安北,118.3572064,25.0336026
南定,118.0291983,36.7423979
南宫东,115.6897724,37.1691579
南尔岗,102.7247611,28.9417257
南屯,84.1455102,37.7403643
南山北,109.2056271,18.3193119
南岔,129.2728449,47.1310277
南峧,113.5582582,36.5737298
南峪,113.9293739,37.9876653
南川,107.1019225,29.1471135
南川北,107.1145337,29.187095
南平市,118.0884673,27.4758755
南张村,114.0651413,37.9960907
南彭,106.5972368,29.362757
南昌,115.9148247,28.6652855
南昌东,116.0161548,28.617241
南昌北,115.8604297,28.7439495
南昌南,115.9453873,28.5035174
南昌西,115.7877114,28.6257294
南曹,113.7845091,34.6794401
南朗,113.5282463,22.4891049
南木,122.3602269,48.1767027
南杂木,124.40162,41.962719
南桥,119.9307867,40.7118689
南永宁,110.0527529,35.2792101
南江,106.9693101,26.8974601
南江口,111.7830157,23.121775
南沙北,113.4852438,22.8687149
南沟,128.6726475,43.2414357
南河川,105.762542,34.6244608
南涧,100.3055361,25.0184971
南湾子,117.8234265,40.7332072
南溪北,104.8832857,28.9732083
南漳,111.8612768,31.8033176
南白镇,106.8468231,27.5241846
南票,120.7327595,41.118657
南翔北,121.3048205,31.2834953
南芬,123.741649,41.099577
南芬北,123.7389573,41.1346255
南观村,115.9879111,39.766652
南通,120.8558408,32.0702664
南通西,120.7611247,32.103596
南部,106.0090154,31.3733547
南阳东,112.6558781,32.9527068
南阳寨,113.6109018,34.8154786
南阳西,112.4341544,33.0027972
南陈铺,112.9026656,35.7282745
南陵,118.2927402,30.8381731
南雄,114.3058872,25.1480341
南靖,117.4438772,24.5816829
博乐,82.1109259,44.9017497
博乐东,82.6479095,44.931526
博克图,121.9141347,48.7520635
博兴,118.136495,37.136668
博山,117.8582391,36.5039228
博白,109.989447,22.2342429
博罗,114.2035591,23.1436482
博罗北,114.5572092,23.4803874
博鳌,110.4828528,19.1380226
卡伦,125.5496816,44.0203532
卡路屯,129.5585132,44.5510107
卢龙,118.9775188,39.9512723
卧虎屯,123.55388,43.69644
卧龙寺,107.2564962,34.3656226
卫星,132.4858734,45.7203814
卫辉,114.055472,35.4318574
卫辉南,114.1326641,35.3905971
即墨,120.2647147,36.3680979
即墨北,120.3889533,36.4039625
历城,117.2016493,36.6660053
厉家寨,119.126038,35.2830092
厉山,113.2540751,31.8919277
